method,mode,angle_state_label,physical_role_candidate,event_start_time_s,event_end_time_s,event_duration_s,peak_time_s,candidate_window_count,peak_anomaly_score,mean_anomaly_score,dominant_deviation_feature,global_peak_frequency_hz,representative_local_frequency_hz,local_frequency_low_hz,local_frequency_high_hz,interpretation,source_event_index,comparison_frequency_hz,consensus_cluster_id,consensus_level,method_count,supporting_methods
STVMD,IMF3,stable_43deg,background_dynamic_mode,80.5,84.495,3.995000000000005,81.5,5,5.106747968154307,4.289668293249618,local_peak_frequency_hz,17.793810848400554,16.0,15.5,16.0,anomaly_candidate_not_confirmed_fault,38,16.0,C026,four_method_consensus,4,"AVMD,IOVMD,STVMD,SVMD"
SVMD,IMF3,stable_43deg,background_dynamic_mode,80.5,84.495,3.995000000000005,81.5,5,5.087242683632798,4.273283854251551,local_peak_frequency_hz,17.793810848400554,16.0,15.5,16.0,anomaly_candidate_not_confirmed_fault,39,16.0,C026,four_method_consensus,4,"AVMD,IOVMD,STVMD,SVMD"
VMD,IMF3,stable_43deg,background_dynamic_mode,81.5,85.495,3.995000000000005,82.5,5,4.060318187993844,4.060318187993844,local_peak_frequency_hz,17.793810848400554,20.0,20.0,20.0,anomaly_candidate_not_confirmed_fault,40,20.0,C032,single_method_only,1,VMD
VMD,IMF7,stable_43deg,background_dynamic_mode,84.0,86.995,2.9950000000000045,85.5,3,5.297257343617747,4.590956364468714,local_peak_frequency_hz,59.97479137691238,58.0,57.5,58.0,anomaly_candidate_not_confirmed_fault,41,58.0,C033,single_method_only,1,VMD
AVMD,IMF5,stable_10deg,background_dynamic_mode,94.5,96.995,2.4950000000000045,95.5,2,5.564643920234044,5.564643920234044,local_peak_frequency_hz,59.97479137691238,62.5,62.5,62.5,anomaly_candidate_not_confirmed_fault,42,62.5,C034,single_method_only,1,AVMD
IOVMD,IMF2,stable_10deg,background_dynamic_mode,94.5,97.495,2.9950000000000045,95.5,3,6.796869772603942,6.503222738789596,rms_nm,5.4242002781641165,3.5,3.5,5.0,anomaly_candidate_not_confirmed_fault,43,3.5,C035,two_method_consensus,2,"IOVMD,STVMD"
STVMD,IMF2,stable_10deg,background_dynamic_mode,94.5,97.495,2.9950000000000045,96.0,3,5.165588686012456,5.0338212201071615,rms_nm,2.1905424200278163,3.5,3.0,3.5,anomaly_candidate_not_confirmed_fault,44,3.5,C035,two_method_consensus,2,"IOVMD,STVMD"
STVMD,IMF5,stable_10deg,background_dynamic_mode,94.5,105.495,10.995000000000005,96.0,19,6.7449075947659525,6.212414889916008,local_peak_frequency_hz,39.90785813630041,35.0,34.5,36.5,anomaly_candidate_not_confirmed_fault,45,35.0,C036,two_method_consensus,2,"STVMD,SVMD"
IOVMD,IMF10,stable_10deg,background_dynamic_mode,95.5,98.995,3.4950000000000045,97.0,4,4.763641766329568,4.264467979925802,rms_nm,80.04607093184978,80.0,80.0,80.0,anomaly_candidate_not_confirmed_fault,46,80.0,C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD"
STVMD,IMF8,stable_10deg,background_dynamic_mode,95.5,98.995,3.4950000000000045,97.0,4,4.985621711050707,4.500452432019083,envelope_mean_nm,80.04607093184978,80.0,80.0,80.0,anomaly_candidate_not_confirmed_fault,47,80.0,C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD"
