method,mode,physical_role_candidate,global_peak_frequency_hz,window_index,start_sample,end_sample,start_time_s,end_time_s,center_time_s,angle_state_label,dominant_state_label,moving_fraction,estimated_angle_mean_deg,angle_velocity_rms_deg_s,local_peak_frequency_hz,local_spectral_centroid_hz,rms_nm,energy_nm2,mean_square_nm2,envelope_mean_nm,envelope_std_nm
VMD,IMF1,angle_position_mode,0.008692628650904,8,800,1199,4.0,5.995,5.0,stable_10deg,stable_10deg,0.0,10.0,0.0,,,0.1282892451372931,6.583252167158601,0.0164581304178965,0.1308486672780575,0.0217989042597331
VMD,IMF2,background_dynamic_mode,16.18567454798331,8,800,1199,4.0,5.995,5.0,stable_10deg,stable_10deg,0.0,10.0,0.0,16.0,16.16545501592329,0.0544819123899823,1.1873115110678838,0.0029682787776697,0.0766081233557867,0.0093139555107782
VMD,IMF3,background_dynamic_mode,17.793810848400554,8,800,1199,4.0,5.995,5.0,stable_10deg,stable_10deg,0.0,10.0,0.0,18.0,19.23984800141875,0.0273447908139273,0.2990950338629779,0.0007477375846574,0.0342704954579845,0.0177862762078572
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,8,800,1199,4.0,5.995,5.0,stable_10deg,stable_10deg,0.0,10.0,0.0,35.0,34.85652931909511,0.0215249233139552,0.1853289294686618,0.0004633223236716,0.0287448290328705,0.010090535175742
VMD,IMF5,background_dynamic_mode,39.90785813630041,8,800,1199,4.0,5.995,5.0,stable_10deg,stable_10deg,0.0,10.0,0.0,39.5,39.9055683242944,0.0211134783536585,0.1783115872761635,0.0004457789681904,0.0282538720254778,0.0096381651998955
VMD,IMF6,background_dynamic_mode,54.08118915159944,8,800,1199,4.0,5.995,5.0,stable_10deg,stable_10deg,0.0,10.0,0.0,53.5,53.57856323215333,0.0119825345227009,0.0574324534350883,0.0001435811335877,0.014574022055257,0.0086643793735377
VMD,IMF7,background_dynamic_mode,59.97479137691238,8,800,1199,4.0,5.995,5.0,stable_10deg,stable_10deg,0.0,10.0,0.0,60.0,59.84751881225879,0.0124505259292639,0.0620062383661098,0.0001550155959152,0.0164200580580789,0.0063224521323066
VMD,IMF8,background_dynamic_mode,72.63125869262865,8,800,1199,4.0,5.995,5.0,stable_10deg,stable_10deg,0.0,10.0,0.0,72.5,72.27437070072682,0.0114567689740075,0.0525030221295124,0.0001312575553237,0.0154738049090097,0.0048323662331173
VMD,IMF9,background_dynamic_mode,80.04607093184978,8,800,1199,4.0,5.995,5.0,stable_10deg,stable_10deg,0.0,10.0,0.0,80.0,80.09684598562902,0.0417865481907078,0.6984462438777402,0.0017461156096943,0.0584545832722696,0.0081717818291721
VMD,IMF10,background_dynamic_mode,90.29468011126563,8,800,1199,4.0,5.995,5.0,stable_10deg,stable_10deg,0.0,10.0,0.0,90.0,90.67416583444552,0.026849197546474,0.2883517635558349,0.0007208794088895,0.0348932349260382,0.0152494070108238
VMD,IMF1,angle_position_mode,0.008692628650904,9,900,1299,4.5,6.495,5.5,stable_10deg,stable_10deg,0.0,10.0,0.0,,,0.1310013440701422,6.864540859273512,0.0171613521481837,0.1355659613519445,0.0234323105364862
VMD,IMF2,background_dynamic_mode,16.18567454798331,9,900,1299,4.5,6.495,5.5,stable_10deg,stable_10deg,0.0,10.0,0.0,16.0,15.90234363099911,0.0538082929813825,1.1581329574281205,0.0028953323935703,0.0753632478467331,0.0094689823505961
VMD,IMF3,background_dynamic_mode,17.793810848400554,9,900,1299,4.5,6.495,5.5,stable_10deg,stable_10deg,0.0,10.0,0.0,20.0,19.35621694622254,0.0274860183464828,0.3021924818172777,0.0007554812045431,0.0345401848303835,0.0180242003717105
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,9,900,1299,4.5,6.495,5.5,stable_10deg,stable_10deg,0.0,10.0,0.0,35.0,34.91707866772443,0.0198408124942323,0.1574631361725143,0.0003936578404312,0.026011890390147,0.0104673800500355
VMD,IMF5,background_dynamic_mode,39.90785813630041,9,900,1299,4.5,6.495,5.5,stable_10deg,stable_10deg,0.0,10.0,0.0,40.0,40.03509312869684,0.0208982114406729,0.1746940965676288,0.000436735241419,0.0278016425949446,0.0099455857119773
VMD,IMF6,background_dynamic_mode,54.08118915159944,9,900,1299,4.5,6.495,5.5,stable_10deg,stable_10deg,0.0,10.0,0.0,54.0,53.95412995877916,0.0133957151465489,0.0717780737149921,0.0001794451842874,0.0166621956664281,0.0089917549425758
VMD,IMF7,background_dynamic_mode,59.97479137691238,9,900,1299,4.5,6.495,5.5,stable_10deg,stable_10deg,0.0,10.0,0.0,60.0,60.085463386939225,0.012250216992385,0.0600271265442073,0.0001500678163605,0.0161826951484976,0.0061330330402883
VMD,IMF8,background_dynamic_mode,72.63125869262865,9,900,1299,4.5,6.495,5.5,stable_10deg,stable_10deg,0.0,10.0,0.0,73.0,72.74252230120635,0.0108601210000959,0.0471768912546899,0.0001179422281367,0.0141440706859814,0.006003354699569
VMD,IMF9,background_dynamic_mode,80.04607093184978,9,900,1299,4.5,6.495,5.5,stable_10deg,stable_10deg,0.0,10.0,0.0,80.0,80.12995804890693,0.042663332763284,0.7280639849882812,0.0018201599624707,0.0596731657788263,0.0078758069442906
VMD,IMF10,background_dynamic_mode,90.29468011126563,9,900,1299,4.5,6.495,5.5,stable_10deg,stable_10deg,0.0,10.0,0.0,90.0,90.64317663379477,0.027050107958204,0.2926833362201986,0.0007317083405504,0.0353978980926224,0.0151179262012346
VMD,IMF1,angle_position_mode,0.008692628650904,10,1000,1399,5.0,6.995,6.0,stable_10deg,stable_10deg,0.0,10.0,0.0,,,0.1309213691623879,6.856161961341705,0.0171404049033542,0.136573209638125,0.0216748356308991
VMD,IMF2,background_dynamic_mode,16.18567454798331,10,1000,1399,5.0,6.995,6.0,stable_10deg,stable_10deg,0.0,10.0,0.0,15.5,15.759045605695505,0.0535488210074737,1.146990492516183,0.0028674762312904,0.0750767458484404,0.0089514551518813
VMD,IMF3,background_dynamic_mode,17.793810848400554,10,1000,1399,5.0,6.995,6.0,stable_10deg,stable_10deg,0.0,10.0,0.0,20.0,19.19643678603868,0.0280645768313299,0.3150481890886486,0.0007876204727216,0.0355593408802578,0.0176540931941409
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,10,1000,1399,5.0,6.995,6.0,stable_10deg,stable_10deg,0.0,10.0,0.0,35.5,35.32427292563602,0.0175944763770988,0.1238262395937155,0.0003095655989842,0.0236904431363066,0.0076835335206218
VMD,IMF5,background_dynamic_mode,39.90785813630041,10,1000,1399,5.0,6.995,6.0,stable_10deg,stable_10deg,0.0,10.0,0.0,39.5,39.90539093006224,0.0193981029152662,0.1505145586845046,0.0003762863967112,0.0252575186881632,0.0106566417975148
VMD,IMF6,background_dynamic_mode,54.08118915159944,10,1000,1399,5.0,6.995,6.0,stable_10deg,stable_10deg,0.0,10.0,0.0,53.0,53.68147382768533,0.013429472960235,0.0721402975958736,0.0001803507439896,0.0168207942551298,0.008826860453854
VMD,IMF7,background_dynamic_mode,59.97479137691238,10,1000,1399,5.0,6.995,6.0,stable_10deg,stable_10deg,0.0,10.0,0.0,60.0,60.28287362469517,0.0117761623589882,0.0554711999621011,0.0001386779999052,0.0151990499246887,0.006804566767381
VMD,IMF8,background_dynamic_mode,72.63125869262865,10,1000,1399,5.0,6.995,6.0,stable_10deg,stable_10deg,0.0,10.0,0.0,73.5,72.73420553365958,0.0101850349624358,0.0414939748744159,0.000103734937186,0.0130050234452662,0.0062791890458489
VMD,IMF9,background_dynamic_mode,80.04607093184978,10,1000,1399,5.0,6.995,6.0,stable_10deg,stable_10deg,0.0,10.0,0.0,80.0,80.15897722965563,0.0435797469121528,0.7596777363709175,0.0018991943409272,0.0610561033678515,0.00784996797533
VMD,IMF10,background_dynamic_mode,90.29468011126563,10,1000,1399,5.0,6.995,6.0,stable_10deg,stable_10deg,0.0,10.0,0.0,90.0,90.53818652889004,0.0291369273594301,0.3395842143794836,0.0008489605359487,0.0369825302327644,0.0181204544770554
VMD,IMF1,angle_position_mode,0.008692628650904,11,1100,1499,5.5,7.495,6.5,stable_10deg,stable_10deg,0.0,10.046741224446302,0.4548360197865081,,,0.127231113772811,6.475102524747991,0.0161877563118699,0.1357472465889563,0.0221014170249994
VMD,IMF2,background_dynamic_mode,16.18567454798331,11,1100,1499,5.5,7.495,6.5,stable_10deg,stable_10deg,0.0,10.046741224446302,0.4548360197865081,16.0,15.814577908516764,0.0573192689897744,1.3141994390088474,0.0032854985975221,0.0792439174229678,0.0167439652482572
VMD,IMF3,background_dynamic_mode,17.793810848400554,11,1100,1499,5.5,7.495,6.5,stable_10deg,stable_10deg,0.0,10.046741224446302,0.4548360197865081,20.0,19.068032856791422,0.0265519357977037,0.2820021178421533,0.0007050052946053,0.0339848233806322,0.0160067495377769
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,11,1100,1499,5.5,7.495,6.5,stable_10deg,stable_10deg,0.0,10.046741224446302,0.4548360197865081,35.0,35.222018076587084,0.0158982514961416,0.1011017602538283,0.0002527544006345,0.0210502556470628,0.0078707549646567
VMD,IMF5,background_dynamic_mode,39.90785813630041,11,1100,1499,5.5,7.495,6.5,stable_10deg,stable_10deg,0.0,10.046741224446302,0.4548360197865081,40.0,39.82805094742511,0.0196703749696936,0.1547694605793407,0.0003869236514483,0.0263935520186118,0.0087406142797709
VMD,IMF6,background_dynamic_mode,54.08118915159944,11,1100,1499,5.5,7.495,6.5,stable_10deg,stable_10deg,0.0,10.046741224446302,0.4548360197865081,53.0,53.72122282139524,0.0123081025501041,0.0605957553535523,0.0001514893883838,0.0152512381151798,0.0085355210730922
VMD,IMF7,background_dynamic_mode,59.97479137691238,11,1100,1499,5.5,7.495,6.5,stable_10deg,stable_10deg,0.0,10.046741224446302,0.4548360197865081,60.0,60.0538075402347,0.0114167721817781,0.0521370748202493,0.0001303426870506,0.0148047450534554,0.0064591241226823
VMD,IMF8,background_dynamic_mode,72.63125869262865,11,1100,1499,5.5,7.495,6.5,stable_10deg,stable_10deg,0.0,10.046741224446302,0.4548360197865081,72.0,72.46494310688962,0.0093445567260012,0.0349282961621817,8.732074040545445e-05,0.0116046513368891,0.0063513128416458
VMD,IMF9,background_dynamic_mode,80.04607093184978,11,1100,1499,5.5,7.495,6.5,stable_10deg,stable_10deg,0.0,10.046741224446302,0.4548360197865081,80.0,80.09226555540131,0.04385357401401,0.7692543815209021,0.0019231359538022,0.0612864819221428,0.0093742602218021
VMD,IMF10,background_dynamic_mode,90.29468011126563,11,1100,1499,5.5,7.495,6.5,stable_10deg,stable_10deg,0.0,10.046741224446302,0.4548360197865081,90.0,90.58449394002568,0.0297511084185646,0.3540513808532753,0.0008851284521331,0.0383137514866432,0.0174751641276758
VMD,IMF1,angle_position_mode,0.008692628650904,12,1200,1599,6.0,7.995,7.0,stable_10deg,stable_10deg,0.0,10.211023046383255,0.6429082117010239,,,0.1188056304347597,5.645911129200286,0.0141147778230007,0.1295670932716148,0.0195354192175314
VMD,IMF2,background_dynamic_mode,16.18567454798331,12,1200,1599,6.0,7.995,7.0,stable_10deg,stable_10deg,0.0,10.211023046383255,0.6429082117010239,16.0,15.785133835233411,0.0569760512080883,1.2985081645066827,0.0032462704112667,0.0785990923223856,0.0176084539772828
VMD,IMF3,background_dynamic_mode,17.793810848400554,12,1200,1599,6.0,7.995,7.0,stable_10deg,stable_10deg,0.0,10.211023046383255,0.6429082117010239,20.0,19.19999880951712,0.0230278618141908,0.2121129678933878,0.0005302824197334,0.0294541093702419,0.0138788521435328
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,12,1200,1599,6.0,7.995,7.0,stable_10deg,stable_10deg,0.0,10.211023046383255,0.6429082117010239,35.0,34.975947272559566,0.0139551819641673,0.0778988414612083,0.000194747103653,0.0182886866156485,0.0073544320817701
VMD,IMF5,background_dynamic_mode,39.90785813630041,12,1200,1599,6.0,7.995,7.0,stable_10deg,stable_10deg,0.0,10.211023046383255,0.6429082117010239,40.0,40.07686637581338,0.0197214067895059,0.1555735543028681,0.0003889338857571,0.0261206901617422,0.0098800971647582
VMD,IMF6,background_dynamic_mode,54.08118915159944,12,1200,1599,6.0,7.995,7.0,stable_10deg,stable_10deg,0.0,10.211023046383255,0.6429082117010239,53.0,53.49884636493306,0.0129499931668322,0.0670809292084007,0.000167702323021,0.0160120038312624,0.0088976982001751
VMD,IMF7,background_dynamic_mode,59.97479137691238,12,1200,1599,6.0,7.995,7.0,stable_10deg,stable_10deg,0.0,10.211023046383255,0.6429082117010239,60.0,60.176452202458826,0.0098128724403466,0.0385169862122059,9.629246553051485e-05,0.0130545688274064,0.004749119401105
VMD,IMF8,background_dynamic_mode,72.63125869262865,12,1200,1599,6.0,7.995,7.0,stable_10deg,stable_10deg,0.0,10.211023046383255,0.6429082117010239,72.5,72.09105220302393,0.0110435169130199,0.0487837063232629,0.0001219592658081,0.0131897250935295,0.0083915634252677
VMD,IMF9,background_dynamic_mode,80.04607093184978,12,1200,1599,6.0,7.995,7.0,stable_10deg,stable_10deg,0.0,10.211023046383255,0.6429082117010239,80.0,80.09255136284247,0.0423710575679177,0.7181226077695188,0.0017953065194237,0.0591723733690067,0.0099301262154754
VMD,IMF10,background_dynamic_mode,90.29468011126563,12,1200,1599,6.0,7.995,7.0,stable_10deg,stable_10deg,0.0,10.211023046383255,0.6429082117010239,90.0,90.37972821220882,0.0275343917708024,0.3032570920752142,0.000758142730188,0.036139281236984,0.0145069460452369
VMD,IMF1,angle_position_mode,0.008692628650904,13,1300,1699,6.5,8.495,7.5,stable_10deg,stable_10deg,0.0,10.481225222026294,0.7515319715768534,,,0.1166196153428767,5.440053873088209,0.0136001346827205,0.1273786511559773,0.0186391944817115
VMD,IMF2,background_dynamic_mode,16.18567454798331,13,1300,1699,6.5,8.495,7.5,stable_10deg,stable_10deg,0.0,10.481225222026294,0.7515319715768534,16.0,15.800600243556756,0.0541557820155969,1.17313949028834,0.0029328487257208,0.0743017985692222,0.0189456582518025
VMD,IMF3,background_dynamic_mode,17.793810848400554,13,1300,1699,6.5,8.495,7.5,stable_10deg,stable_10deg,0.0,10.481225222026294,0.7515319715768534,20.0,19.293749445987075,0.0199409468471231,0.1590565444639167,0.0003976413611597,0.0252523146598031,0.0124057183535474
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,13,1300,1699,6.5,8.495,7.5,stable_10deg,stable_10deg,0.0,10.481225222026294,0.7515319715768534,35.0,34.69794420940748,0.0184838855173526,0.1366616095274398,0.0003416540238185,0.0233452704662025,0.0117939215605649
VMD,IMF5,background_dynamic_mode,39.90785813630041,13,1300,1699,6.5,8.495,7.5,stable_10deg,stable_10deg,0.0,10.481225222026294,0.7515319715768534,39.5,40.08270373249422,0.0214985463140054,0.1848749974461743,0.0004621874936154,0.0283393249680299,0.010898551629741
VMD,IMF6,background_dynamic_mode,54.08118915159944,13,1300,1699,6.5,8.495,7.5,stable_10deg,stable_10deg,0.0,10.481225222026294,0.7515319715768534,53.0,52.7755682024144,0.0120101625152548,0.057697601457133,0.0001442440036428,0.0147659275774969,0.0084176848005525
VMD,IMF7,background_dynamic_mode,59.97479137691238,13,1300,1699,6.5,8.495,7.5,stable_10deg,stable_10deg,0.0,10.481225222026294,0.7515319715768534,60.0,60.44207378993604,0.009718485686037,0.0377795856118825,9.44489640297064e-05,0.012590254183657,0.0055686947590659
VMD,IMF8,background_dynamic_mode,72.63125869262865,13,1300,1699,6.5,8.495,7.5,stable_10deg,stable_10deg,0.0,10.481225222026294,0.7515319715768534,70.0,71.66864725898236,0.013428529667485,0.0721301636122104,0.0001803254090305,0.0166008750723572,0.009247059306663
VMD,IMF9,background_dynamic_mode,80.04607093184978,13,1300,1699,6.5,8.495,7.5,stable_10deg,stable_10deg,0.0,10.481225222026294,0.7515319715768534,80.0,80.08724566402357,0.0408816820419029,0.6685247706301007,0.0016713119265752,0.0568646583873823,0.0110372160057594
VMD,IMF10,background_dynamic_mode,90.29468011126563,13,1300,1699,6.5,8.495,7.5,stable_10deg,stable_10deg,0.0,10.481225222026294,0.7515319715768534,90.0,90.28330677567104,0.0295711209392399,0.3497804774412633,0.0008744511936031,0.0389929341538138,0.014528860402401
VMD,IMF1,angle_position_mode,0.008692628650904,14,1400,1799,7.0,8.995,8.0,stable_10deg,stable_10deg,0.0,10.837691998389072,0.8089990483175079,,,0.1091050372760004,4.761563663598979,0.0119039091589974,0.1212959244168049,0.0194898082073999
VMD,IMF2,background_dynamic_mode,16.18567454798331,14,1400,1799,7.0,8.995,8.0,stable_10deg,stable_10deg,0.0,10.837691998389072,0.8089990483175079,16.0,15.959345887679552,0.0537960174760545,1.1576045985135883,0.0028940114962839,0.0736477267648487,0.0190322717973181
VMD,IMF3,background_dynamic_mode,17.793810848400554,14,1400,1799,7.0,8.995,8.0,stable_10deg,stable_10deg,0.0,10.837691998389072,0.8089990483175079,20.0,19.67660494529673,0.0223447732601234,0.199715556818532,0.0004992888920463,0.0270877861079931,0.0163458233645665
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,14,1400,1799,7.0,8.995,8.0,stable_10deg,stable_10deg,0.0,10.837691998389072,0.8089990483175079,35.5,35.060929814415054,0.0181105379695096,0.1311966342180203,0.000327991585545,0.0224414226777639,0.0123104373142906
VMD,IMF5,background_dynamic_mode,39.90785813630041,14,1400,1799,7.0,8.995,8.0,stable_10deg,stable_10deg,0.0,10.837691998389072,0.8089990483175079,39.5,39.887954417989214,0.0243580489688832,0.237325819828206,0.0005933145495705,0.0329956714805456,0.009923960626811
VMD,IMF6,background_dynamic_mode,54.08118915159944,14,1400,1799,7.0,8.995,8.0,stable_10deg,stable_10deg,0.0,10.837691998389072,0.8089990483175079,53.0,52.98466499198474,0.0120693327683689,0.0582675173894497,0.0001456687934736,0.0145232095203166,0.0089873704384597
VMD,IMF7,background_dynamic_mode,59.97479137691238,14,1400,1799,7.0,8.995,8.0,stable_10deg,stable_10deg,0.0,10.837691998389072,0.8089990483175079,60.0,60.33033802160202,0.010337832460134,0.0427483119895206,0.0001068707799738,0.0136940030065538,0.0051152624144701
VMD,IMF8,background_dynamic_mode,72.63125869262865,14,1400,1799,7.0,8.995,8.0,stable_10deg,stable_10deg,0.0,10.837691998389072,0.8089990483175079,72.5,72.10129936732612,0.0148943765547742,0.0887369811821637,0.0002218424529554,0.0191515844627578,0.0087325935225536
VMD,IMF9,background_dynamic_mode,80.04607093184978,14,1400,1799,7.0,8.995,8.0,stable_10deg,stable_10deg,0.0,10.837691998389072,0.8089990483175079,80.0,80.0819152007886,0.0394729096639773,0.6232442389362056,0.0015581105973405,0.0550449758705034,0.0101760617935228
VMD,IMF10,background_dynamic_mode,90.29468011126563,14,1400,1799,7.0,8.995,8.0,stable_10deg,stable_10deg,0.0,10.837691998389072,0.8089990483175079,90.0,90.27034724276218,0.0260280846475587,0.2709844761681927,0.0006774611904204,0.0352363710265456,0.0106163627780919
VMD,IMF1,angle_position_mode,0.008692628650904,15,1500,1899,7.5,9.495,8.5,stable_10deg,stable_10deg,0.0,11.208720967966364,0.6962981028464977,,,0.1069250938559667,4.573190278442922,0.0114329756961073,0.1180701466221513,0.0179793523854652
VMD,IMF2,background_dynamic_mode,16.18567454798331,15,1500,1899,7.5,9.495,8.5,stable_10deg,stable_10deg,0.0,11.208720967966364,0.6962981028464977,16.0,16.231492512515544,0.0468091967650607,0.8764403607160708,0.0021911009017901,0.0650980711266878,0.0119860565627186
VMD,IMF3,background_dynamic_mode,17.793810848400554,15,1500,1899,7.5,9.495,8.5,stable_10deg,stable_10deg,0.0,11.208720967966364,0.6962981028464977,20.5,19.28863656317996,0.0243585501184732,0.2373355855496682,0.0005933389638741,0.0294378168275623,0.0179425412084248
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,15,1500,1899,7.5,9.495,8.5,stable_10deg,stable_10deg,0.0,11.208720967966364,0.6962981028464977,35.5,35.22868421507962,0.0176471859514009,0.1245692688013297,0.0003114231720033,0.0217092291940841,0.0123186564552999
VMD,IMF5,background_dynamic_mode,39.90785813630041,15,1500,1899,7.5,9.495,8.5,stable_10deg,stable_10deg,0.0,11.208720967966364,0.6962981028464977,40.0,39.93914529869335,0.0255908942796753,0.2619575480134084,0.0006548938700335,0.0343606082459129,0.0114347320741777
VMD,IMF6,background_dynamic_mode,54.08118915159944,15,1500,1899,7.5,9.495,8.5,stable_10deg,stable_10deg,0.0,11.208720967966364,0.6962981028464977,53.0,53.12641555229667,0.0123166365721464,0.0606798145801339,0.0001516995364503,0.0148334592311366,0.009062562444689
VMD,IMF7,background_dynamic_mode,59.97479137691238,15,1500,1899,7.5,9.495,8.5,stable_10deg,stable_10deg,0.0,11.208720967966364,0.6962981028464977,60.0,60.02050729666534,0.0107032613830692,0.0458239216937209,0.0001145598042343,0.0141777896528177,0.0052592029080709
VMD,IMF8,background_dynamic_mode,72.63125869262865,15,1500,1899,7.5,9.495,8.5,stable_10deg,stable_10deg,0.0,11.208720967966364,0.6962981028464977,72.5,72.11079710088917,0.0145440396491319,0.084611635726209,0.0002115290893155,0.0186072960304458,0.0087407630654116
VMD,IMF9,background_dynamic_mode,80.04607093184978,15,1500,1899,7.5,9.495,8.5,stable_10deg,stable_10deg,0.0,11.208720967966364,0.6962981028464977,80.0,80.08918367036458,0.0405571746611293,0.6579537665973394,0.0016448844164933,0.0567414433324875,0.0089610256505582
VMD,IMF10,background_dynamic_mode,90.29468011126563,15,1500,1899,7.5,9.495,8.5,stable_10deg,stable_10deg,0.0,11.208720967966364,0.6962981028464977,90.0,90.4882154775904,0.0279316026778637,0.3120697712616176,0.000780174428154,0.0374232256546985,0.0126191038004896
VMD,IMF1,angle_position_mode,0.008692628650904,16,1600,1999,8.0,9.995,9.0,stable_10deg,stable_10deg,0.0,11.495153629711275,0.5336950872797653,,,0.1074778588158618,4.62059605425693,0.0115514901356423,0.1169071155368101,0.0196550946744316
VMD,IMF2,background_dynamic_mode,16.18567454798331,16,1600,1999,8.0,9.995,9.0,stable_10deg,stable_10deg,0.0,11.495153629711275,0.5336950872797653,16.5,16.46105691694321,0.0454880540093573,0.8276652230232835,0.0020691630575582,0.0631023930608514,0.0124015196768093
VMD,IMF3,background_dynamic_mode,17.793810848400554,16,1600,1999,8.0,9.995,9.0,stable_10deg,stable_10deg,0.0,11.495153629711275,0.5336950872797653,18.0,19.034647857311672,0.0295401417857896,0.3490479906898232,0.0008726199767245,0.0358281410063186,0.0215082058671633
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,16,1600,1999,8.0,9.995,9.0,stable_10deg,stable_10deg,0.0,11.495153629711275,0.5336950872797653,35.5,35.385576888755885,0.0172967627457212,0.1196712005927077,0.0002991780014817,0.0209528347949637,0.0126370813158574
VMD,IMF5,background_dynamic_mode,39.90785813630041,16,1600,1999,8.0,9.995,9.0,stable_10deg,stable_10deg,0.0,11.495153629711275,0.5336950872797653,40.0,39.95732771646557,0.026239103602508,0.2753962231452597,0.0006884905578631,0.0358317803719944,0.0096333948743525
VMD,IMF6,background_dynamic_mode,54.08118915159944,16,1600,1999,8.0,9.995,9.0,stable_10deg,stable_10deg,0.0,11.495153629711275,0.5336950872797653,54.5,53.56486918952445,0.0107447369040912,0.0461797484552564,0.0001154493711381,0.0131445302519248,0.0076283146401671
VMD,IMF7,background_dynamic_mode,59.97479137691238,16,1600,1999,8.0,9.995,9.0,stable_10deg,stable_10deg,0.0,11.495153629711275,0.5336950872797653,60.0,59.8378598175733,0.0112093437655879,0.05025975506205,0.0001256493876551,0.0149464523400967,0.0052786224294641
VMD,IMF8,background_dynamic_mode,72.63125869262865,16,1600,1999,8.0,9.995,9.0,stable_10deg,stable_10deg,0.0,11.495153629711275,0.5336950872797653,72.5,72.19079038347398,0.013236816978556,0.0700853294895158,0.0001752133237237,0.0169093363006455,0.007967455747333
VMD,IMF9,background_dynamic_mode,80.04607093184978,16,1600,1999,8.0,9.995,9.0,stable_10deg,stable_10deg,0.0,11.495153629711275,0.5336950872797653,80.0,80.10359588223471,0.0412460885857757,0.6804959294502653,0.0017012398236256,0.0578114699946419,0.0077935967343154
VMD,IMF10,background_dynamic_mode,90.29468011126563,16,1600,1999,8.0,9.995,9.0,stable_10deg,stable_10deg,0.0,11.495153629711275,0.5336950872797653,90.5,90.72097003114077,0.0278110161271389,0.3093810472095938,0.0007734526180239,0.0363750940764498,0.0148820454341895
VMD,IMF1,angle_position_mode,0.008692628650904,17,1700,2099,8.5,10.495,9.5,stable_10deg,stable_10deg,0.0,11.67882084480849,0.3697584382394334,,,0.1017129981806484,4.138213599558635,0.0103455339988965,0.1117605771816502,0.0171211887898443
VMD,IMF2,background_dynamic_mode,16.18567454798331,17,1700,2099,8.5,10.495,9.5,stable_10deg,stable_10deg,0.0,11.67882084480849,0.3697584382394334,16.5,16.58235749289869,0.0458959230554221,0.8425743012436937,0.0021064357531092,0.0632742213740338,0.0145064714538949
VMD,IMF3,background_dynamic_mode,17.793810848400554,17,1700,2099,8.5,10.495,9.5,stable_10deg,stable_10deg,0.0,11.67882084480849,0.3697584382394334,18.0,18.58292006992648,0.0311616165607595,0.3884185386719218,0.0009710463466798,0.0393485905685317,0.019882617872225
VMD,IMF4,angle_movement_response_candidate,35.626738525730175,17,1700,2099,8.5,10.495,9.5,stable_10deg,stable_10deg,0.0,11.67882084480849,0.3697584382394334,36.0,34.339113261917966,0.0120706516137888,0.058280252152585,0.0001457006303814,0.0155495763933386,0.0068594610023515
VMD,IMF5,background_dynamic_mode,39.90785813630041,17,1700,2099,8.5,10.495,9.5,stable_10deg,stable_10deg,0.0,11.67882084480849,0.3697584382394334,39.5,39.78262566717487,0.0236558386381772,0.2238394806701921,0.0005595987016754,0.0313012134163161,0.0118733610903022
VMD,IMF6,background_dynamic_mode,54.08118915159944,17,1700,2099,8.5,10.495,9.5,stable_10deg,stable_10deg,0.0,11.67882084480849,0.3697584382394334,53.5,53.605659306432045,0.0118704481585582,0.0563630157940077,0.000140907539485,0.01467870839079,0.0081905101894528
VMD,IMF7,background_dynamic_mode,59.97479137691238,17,1700,2099,8.5,10.495,9.5,stable_10deg,stable_10deg,0.0,11.67882084480849,0.3697584382394334,60.0,59.90810279599413,0.012202653361269,0.0595618996221166,0.0001489047490552,0.0166006887705222,0.0047330975976076
VMD,IMF8,background_dynamic_mode,72.63125869262865,17,1700,2099,8.5,10.495,9.5,stable_10deg,stable_10deg,0.0,11.67882084480849,0.3697584382394334,72.5,72.37497638162313,0.0117717034672258,0.055429201008119,0.0001385730025202,0.0150893593923077,0.0069813752925793
VMD,IMF9,background_dynamic_mode,80.04607093184978,17,1700,2099,8.5,10.495,9.5,stable_10deg,stable_10deg,0.0,11.67882084480849,0.3697584382394334,80.0,80.1025603851105,0.0412514716753001,0.6806735661512369,0.001701683915378,0.0579233921642372,0.0066405400579062
VMD,IMF10,background_dynamic_mode,90.29468011126563,17,1700,2099,8.5,10.495,9.5,stable_10deg,stable_10deg,0.0,11.67882084480849,0.3697584382394334,90.5,90.80839019554725,0.0266457474244178,0.283998342322349,0.0007099958558058,0.0349930341325717,0.0141615913030496
VMD,IMF1,angle_position_mode,0.008692628650904,18,1800,2199,9.0,10.995,10.0,stable_10deg,stable_10deg,0.0,11.750080927977825,0.2717459603513122,,,0.1111830839899892,4.944671266209998,0.0123616781655249,0.1191022118961341,0.0206674570962373
VMD,IMF2,background_dynamic_mode,16.18567454798331,18,1800,2199,9.0,10.995,10.0,stable_10deg,stable_10deg,0.0,11.750080927977825,0.2717459603513122,17.0,16.584548255251967,0.043765369448,0.7661630251679752,0.0019154075629199,0.059994490818185,0.0152172256706406
